Codigo do Produto	Nome do Produto	Embalagem do produto	Categoria do Produto	Status do Produto
59433	MENU MAES FILE MIGNON MOL MAD ARR BRANC BOLO TRUF	Un	1	Ativo
59434	MENU MAES PICANHA AO MOLHO ERVAS ARROZ BRANCO	Un	1	Inativo
59435	MENU MAES LASANHA BOLONHESA ARROZ ARROZ GREGA	Un	1	Inativo
59436	MENU MAES FRANGO RECHEADO ARROZ GREGA BOL TRUF	Un	1	Ativo
59437	MENU MAES FILE MIGNON MOL MAD ARR GREGA	Un	1	Inativo
59438	MENU MAES PICANHA MOLHO ERVAS ARR GREGA BOL TRUF	Un	1	Ativo
61835	MENU PASCOA MOQUECA CACAO C/CAM ARROZ BRANCO	Un	1	Inativo
61836	MENU PASCOA MOQUECA CACAO C/CAM ARROZ BACALHAU	Un	1	Inativo
61837	MENU PASCOA MOQUECA CACAO C/CAM ARROZ CAMARAO	Un	1	Inativo
61838	MENU MAES BACALHAU GOMES SA ARROZ BRANC BOLO TRUF	Un	1	Ativo
61839	MENU MAES BACALHAU GOMES SA ARROZ BAC BOLO TRUF	Un	1	Ativo
61840	MENU MAES BACALHAU GOMES SA ARROZ CAMAR BOLO TRUF	Un	1	Ativo
61841	MENU PASCOA FILE DE TILAPIA ARROZ BRANCO	Un	1	Inativo
61842	MENU PASCOA FILE DE TILAPIA ARROZ BACALHAU	Un	1	Inativo
61843	MENU PASCOA FILE DE TILAPIA ARROZ CAMARAO	Un	1	Inativo
61845	MENU MAES SALMAO ALHO PORO ARROZ CAMAR BOLO TRUF	Un	1	Ativo
61846	MINI TORTA DE BACALHAU C/6	Un	1	Inativo
61847	MENU MAES SALMAO ALHO PORO ARROZ BRANC BOLO TRUF	Un	1	Ativo
61848	MENU MAES SALMAO ALHO PORO ARROZ BAC BOLO TRUF	Un	1	Ativo
61849	MENU PASCOA MORANG BOBO CAMAR ARROZ BRANC BOLO TRU	Un	1	Inativo
61850	MENU PASCOA MORANG BOBO CAMAR ARROZ BAC BOLO TRUF	Un	1	Inativo
61851	MENU PASCOA MORANG BOBO CAMAR ARROZ CAM BOLO TRUF	Un	1	Inativo
62898	TORTA CAMARAO 400G	Un	1	Inativo
63083	CEIA NATAL FGO RECH ARROZ A GREGA BOLO TRUFADO	Un	1	Inativo
